Segment,segment,x in (m),x out (m),x mid (m),Brine in (C),Brine out (C),Permeate in (C),Permeate out (C),Permeate avg (C),Brine in (kg/h),Brine out (kg/h),Brine in NaCl (wt%),Brine out NaCl (wt%),Permeate in (kg/h),Permeate out (kg/h),Delta T (C),Delta T_th (C),Flux Jm (kg/m2/min),Flux Jm (kg/m2/h),Water transferred (kg/h)
1,1,0.0,0.02,0.01,60.0,57.952862,55.567201,57.49463,56.530916,223.983048,223.443133,3.67,3.678868,231.645269,232.185184,3.469084,0.469568,0.089986,5.399131,0.539913
2,2,0.02,0.04,0.03,57.952862,56.004698,53.733731,55.567201,54.650466,223.443133,222.93238,3.678868,3.687297,231.134516,231.645269,3.302396,0.464906,0.085125,5.107481,0.510748
3,3,0.04,0.06,0.05,56.004698,54.152568,51.991344,53.733731,52.862538,222.93238,222.449666,3.687297,3.695298,230.651802,231.134516,3.14216,0.460447,0.080451,4.827083,0.482708
4,4,0.06,0.08,0.07,54.152568,52.393427,50.33707,51.991344,51.164207,222.449666,221.993868,3.695298,3.702885,230.196004,230.651802,2.988361,0.456187,0.075965,4.557914,0.455791
5,5,0.08,0.1,0.09,52.393427,50.724143,48.76787,50.33707,49.55247,221.993868,221.56387,3.702885,3.710071,229.766006,230.196004,2.840957,0.452121,0.071665,4.299905,0.42999
6,6,0.1,0.12,0.11,50.724143,49.141527,47.280657,48.76787,48.024264,221.56387,221.158568,3.710071,3.716871,229.360704,229.766006,2.699879,0.448245,0.067549,4.052942,0.405294
7,7,0.12,0.14,0.13,49.141527,47.642348,45.872317,47.280657,46.576487,221.158568,220.776873,3.716871,3.723297,228.979009,229.360704,2.565039,0.444554,0.063615,3.816873,0.381687
8,8,0.14,0.16,0.15,47.642348,46.223359,44.539724,45.872317,45.206021,220.776873,220.417713,3.723297,3.729364,228.619849,228.979009,2.436327,0.441044,0.059859,3.59151,0.359151
9,9,0.16,0.18,0.17,46.223359,44.88131,43.279761,44.539724,43.909743,220.417713,220.080042,3.729364,3.735086,228.282178,228.619849,2.313616,0.437708,0.056277,3.376635,0.337664
10,10,0.18,0.2,0.19,44.88131,43.612966,42.089329,43.279761,42.684545,220.080042,219.762835,3.735086,3.740477,227.964971,228.282178,2.196765,0.434541,0.052867,3.172003,0.3172
11,11,0.2,0.22,0.21,43.612966,42.415124,40.965367,42.089329,41.527348,219.762835,219.465095,3.740477,3.745551,227.667231,227.964971,2.085618,0.431537,0.049622,2.977345,0.297734
12,12,0.22,0.24,0.23,42.415124,41.284622,39.90486,40.965367,40.435113,219.465095,219.185853,3.745551,3.750323,227.387989,227.667231,1.98001,0.42869,0.04654,2.792376,0.279238
13,13,0.24,0.26,0.25,41.284622,40.218354,38.904847,39.90486,39.404853,219.185853,218.924171,3.750323,3.754806,227.126307,227.387989,1.879768,0.425994,0.043613,2.616794,0.261679
14,14,0.26,0.28,0.27,40.218354,39.213279,37.962437,38.904847,38.433642,218.924171,218.679141,3.754806,3.759013,226.881277,227.126307,1.784712,0.423443,0.040838,2.450285,0.245028
15,15,0.28,0.3,0.29,39.213279,38.266429,37.074809,37.962437,37.518623,218.679141,218.44989,3.759013,3.762958,226.652026,226.881277,1.694656,0.421031,0.038209,2.292527,0.229253
16,16,0.3,0.32,0.31,38.266429,37.374915,36.239224,37.074809,36.657016,218.44989,218.235575,3.762958,3.766653,226.437711,226.652026,1.609413,0.418751,0.03572,2.143191,0.214319
17,17,0.32,0.34,0.33,37.374915,36.535936,35.453025,36.239224,35.846124,218.235575,218.035386,3.766653,3.770112,226.237522,226.437711,1.528791,0.416598,0.033366,2.001947,0.200195
18,18,0.34,0.36,0.35,36.535936,35.746778,34.713645,35.453025,35.083335,218.035386,217.848549,3.770112,3.773345,226.050685,226.237522,1.4526,0.414566,0.031141,1.868461,0.186846
19,19,0.36,0.38,0.37,35.746778,35.004825,34.018609,34.713645,34.366127,217.848549,217.67432,3.773345,3.776365,225.876456,226.050685,1.380651,0.41265,0.02904,1.742402,0.17424
20,20,0.38,0.4,0.39,35.004825,34.307555,33.365533,34.018609,33.692071,217.67432,217.511991,3.776365,3.779184,225.714127,225.876456,1.312754,0.410842,0.027057,1.623441,0.162344
21,21,0.4,0.42,0.41,34.307555,33.652544,32.752128,33.365533,33.05883,217.511991,217.360882,3.779184,3.781811,225.563018,225.714127,1.248724,0.409139,0.025188,1.511253,0.151125
22,22,0.42,0.44,0.43,33.652544,33.037467,32.176201,32.752128,32.464165,217.360882,217.22035,3.781811,3.784258,225.422486,225.563018,1.188379,0.407535,0.023425,1.405519,0.140552
23,23,0.44,0.46,0.45,33.037467,32.460098,31.635653,32.176201,31.905927,217.22035,217.089779,3.784258,3.786534,225.291915,225.422486,1.13154,0.406024,0.021765,1.305928,0.130593
24,24,0.46,0.48,0.47,32.460098,31.918309,31.128478,31.635653,31.382065,217.089779,216.968586,3.786534,3.788649,225.170722,225.291915,1.078032,0.404602,0.020203,1.212174,0.121217
25,25,0.48,0.5,0.49,31.918309,31.410069,30.652764,31.128478,30.890621,216.968586,216.856216,3.788649,3.790612,225.058352,225.170722,1.027688,0.403264,0.018733,1.123963,0.112396
