Segment,Brine in (kg/h),Brine out (kg/h),Brine in NaCl (wt%),Brine out NaCl (wt%),Permeate in (kg/h),Permeate out (kg/h),Flux Jm (kg/m2/h),Water transferred (kg/h)
1,223.983,223.443,3.67,3.6789,231.645,232.185,5.3991,0.53991
2,223.443,222.932,3.6789,3.6873,231.135,231.645,5.1075,0.51075
3,222.932,222.45,3.6873,3.6953,230.652,231.135,4.8271,0.48271
4,222.45,221.994,3.6953,3.7029,230.196,230.652,4.5579,0.45579
5,221.994,221.564,3.7029,3.7101,229.766,230.196,4.2999,0.42999
6,221.564,221.159,3.7101,3.7169,229.361,229.766,4.0529,0.40529
7,221.159,220.777,3.7169,3.7233,228.979,229.361,3.8169,0.38169
8,220.777,220.418,3.7233,3.7294,228.62,228.979,3.5915,0.35915
9,220.418,220.08,3.7294,3.7351,228.282,228.62,3.3766,0.33766
10,220.08,219.763,3.7351,3.7405,227.965,228.282,3.172,0.3172
11,219.763,219.465,3.7405,3.7456,227.667,227.965,2.9773,0.29773
12,219.465,219.186,3.7456,3.7503,227.388,227.667,2.7924,0.27924
13,219.186,218.924,3.7503,3.7548,227.126,227.388,2.6168,0.26168
14,218.924,218.679,3.7548,3.759,226.881,227.126,2.4503,0.24503
15,218.679,218.45,3.759,3.763,226.652,226.881,2.2925,0.22925
16,218.45,218.236,3.763,3.7667,226.438,226.652,2.1432,0.21432
17,218.236,218.035,3.7667,3.7701,226.238,226.438,2.0019,0.20019
18,218.035,217.849,3.7701,3.7733,226.051,226.238,1.8685,0.18685
19,217.849,217.674,3.7733,3.7764,225.876,226.051,1.7424,0.17424
20,217.674,217.512,3.7764,3.7792,225.714,225.876,1.6234,0.16234
21,217.512,217.361,3.7792,3.7818,225.563,225.714,1.5113,0.15113
22,217.361,217.22,3.7818,3.7843,225.422,225.563,1.4055,0.14055
23,217.22,217.09,3.7843,3.7865,225.292,225.422,1.3059,0.13059
24,217.09,216.969,3.7865,3.7886,225.171,225.292,1.2122,0.12122
25,216.969,216.856,3.7886,3.7906,225.058,225.171,1.124,0.1124
26,216.856,216.752,3.7906,3.7924,224.954,225.058,1.041,0.1041
27,216.752,216.656,3.7924,3.7941,224.858,224.954,0.963,0.0963
28,216.656,216.567,3.7941,3.7957,224.769,224.858,0.8898,0.08898
29,216.567,216.485,3.7957,3.7971,224.687,224.769,0.821,0.0821
30,216.485,216.409,3.7971,3.7984,224.611,224.687,0.7564,0.07564
31,216.409,216.34,3.7984,3.7997,224.542,224.611,0.6957,0.06957
32,216.34,216.276,3.7997,3.8008,224.478,224.542,0.6389,0.06389
33,216.276,216.217,3.8008,3.8018,224.419,224.478,0.5855,0.05855
34,216.217,216.164,3.8018,3.8028,224.366,224.419,0.5355,0.05355
35,216.164,216.115,3.8028,3.8036,224.317,224.366,0.4886,0.04886
36,216.115,216.071,3.8036,3.8044,224.273,224.317,0.4447,0.04447
37,216.071,216.03,3.8044,3.8051,224.232,224.273,0.4035,0.04035
38,216.03,215.994,3.8051,3.8057,224.196,224.232,0.365,0.0365
39,215.994,215.961,3.8057,3.8063,224.163,224.196,0.3289,0.03289
40,215.961,215.931,3.8063,3.8068,224.134,224.163,0.2951,0.02951
41,215.931,215.905,3.8068,3.8073,224.107,224.134,0.2634,0.02634
42,215.905,215.882,3.8073,3.8077,224.084,224.107,0.2338,0.02338
43,215.882,215.861,3.8077,3.8081,224.063,224.084,0.2061,0.02061
44,215.861,215.843,3.8081,3.8084,224.045,224.063,0.1802,0.01802
45,215.843,215.828,3.8084,3.8087,224.03,224.045,0.1559,0.01559
46,215.828,215.814,3.8087,3.8089,224.016,224.03,0.1332,0.01332
47,215.814,215.803,3.8089,3.8091,224.005,224.016,0.112,0.0112
48,215.803,215.794,3.8091,3.8093,223.996,224.005,0.0921,0.00921
49,215.794,215.787,3.8093,3.8094,223.989,223.996,0.0735,0.00735
50,215.787,215.781,3.8094,3.8095,223.983,223.989,0.0562,0.00562
